Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;Type de lycée;Effectifs voie GT;Effectifs voie PRO;Effectifs Ensemble GT-PRO;IPS voie GT;IPS voie PRO;IPS Ensemble GT-PRO;Ecart-type de l'IPS voie GT;Ecart-type de l'IPS voie PRO
2022-2023;NANTES;049;MAINE-ET-LOIRE;0492285T;LYCEE TECHNOLOGIQUE PRIVE LES ARDILLIERS;49328;SAUMUR;privé sous contrat;LEGT;52.0;;52.0;107.8;;107.8;25.1;
2022-2023;NORMANDIE;050;MANCHE;0500016W;LYCEE GENERAL ET TECHNOLOGIQUE JEAN FRANCOIS MILLET;50129;CHERBOURG EN COTENTIN;public;LEGT;1024.0;;1024.0;113.0;;113.0;31.4;
2022-2023;NORMANDIE;050;MANCHE;0500116E;LYCEE GENERAL PRIVE JEAN PAUL II;50147;COUTANCES;privé sous contrat;LEGT;267.0;;267.0;116.5;;116.5;27.8;
2022-2023;NORMANDIE;050;MANCHE;0500127S;LYCEE TECHNOLOGIQUE PRIVE LE BON SAUVEUR;50502;SAINT LO;privé sous contrat;LEGT;98.0;;98.0;103.6;;103.6;26.4;
2022-2023;NORMANDIE;050;MANCHE;0500132X;LYCEE PROFESSIONNEL PRIVE INGENIEUR CACHIN;50129;CHERBOURG EN COTENTIN;privé sous contrat;LP;;129.0;129.0;;99.9;99.9;;26.6
2022-2023;NORMANDIE;050;MANCHE;0501828R;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR GRIGNARD;50129;CHERBOURG EN COTENTIN;public;LEGT;649.0;;649.0;115.4;;115.4;35.9;
2022-2023;REIMS;051;MARNE;0510035L;LYCEE GENERAL ET TECHNOLOGIQUE HUGUES LIBERGIER LYCEE DES METIERS DES BIOTECHNOLOGIES DE LA CHIMIE DU SOCIAL ET DE L ASSISTANCE AU MANAGEMENT;51454;REIMS;public;LEGT;1049.0;;1049.0;91.4;;91.4;30.8;
2022-2023;REIMS;051;MARNE;0510037N;LYCEE PROFESSIONNEL RAYMOND KOPA LYCEE DES METIERS DE L AGENCEMENT DELA TOPOGRAPHIE ET DE LA COMMERCIALISATION;51454;REIMS;public;LP;;390.0;390.0;;82.0;82.0;;26.3
2022-2023;REIMS;051;MARNE;0511153B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LA SALLE;51454;REIMS;privé sous contrat;LP;;130.0;130.0;;109.6;109.6;;27.2
2022-2023;REIMS;051;MARNE;0511884W;LYCEE POLYVALENT GEORGES BRIERE LYCEE DES METIERS DE L INDUSTRIE DE LA DEFENSE ET DU GRAPHISME;51454;REIMS;public;LP;;533.0;533.0;;88.7;88.7;;26.8
2022-2023;REIMS;051;MARNE;0511926S;LYCEE GENERAL ET TECHNOLOGIQUE MARC CHAGALL;51454;REIMS;public;LEGT;952.0;;952.0;121.4;;121.4;35.8;
2022-2023;REIMS;052;HAUTE-MARNE;0520008B;LYCEE PROFESSIONNEL EUGENE DECOMBLE;52121;CHAUMONT;public;LP;;350.0;350.0;;85.3;85.3;;24.1
2022-2023;REIMS;052;HAUTE-MARNE;0520029Z;LYCEE PROFESSIONNEL BLAISE PASCAL;52448;SAINT DIZIER;public;LP;;126.0;126.0;;82.7;82.7;;23.9
2022-2023;NANTES;053;MAYENNE;0530012A;LYCEE GENERAL ET TECHNOLOGIQUE REAUMUR LYCEE DES METIERS;53130;LAVAL;public;LEGT;539.0;;539.0;105.7;;105.7;32.5;
2022-2023;NANTES;053;MAYENNE;0530016E;LYCEE GENERAL ET TECHNOLOGIQUE LAVOISIER;53147;MAYENNE;public;LEGT;581.0;;581.0;110.6;;110.6;33.2;
2022-2023;NANTES;053;MAYENNE;0530046M;LYCEE GENERAL PRIVE SAINT MICHEL;53062;CHATEAU GONTIER SUR MAYENNE;privé sous contrat;LEGT;338.0;;338.0;111.6;;111.6;27.9;
2022-2023;NANTES;053;MAYENNE;0530904V;LYCEE PROFESSIONNEL PRIVE IMMACULEE CONCEPTION;53130;LAVAL;privé sous contrat;LP;;173.0;173.0;;106.3;106.3;;26.8
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0540030P;LYCEE POLYVALENT ALFRED MEZIERES;54323;LONGWY;public;LPO;1413.0;167.0;1580.0;99.2;78.6;97.0;31.8;20.2
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0540067E;LYCEE DES METIERS REGIONAL DU TOULOIS;54528;TOUL;public;LP;;321.0;321.0;;85.5;85.5;;24.3
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541312H;LYCEE GENERAL PRIVE SAINT PIERRE FOURIER;54329;LUNEVILLE;privé sous contrat;LEGT;115.0;;115.0;111.5;;111.5;28.6;
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541364P;LYCEE PROFESSIONNEL PRIVE MARIE IMMACULEE;54395;NANCY;privé sous contrat;LP;;221.0;221.0;;97.9;97.9;;29.0
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541370W;LYCEE PROFESSIONNEL PRIVE CLAUDE DAUNOT;54395;NANCY;privé sous contrat;LP;;241.0;241.0;;102.0;102.0;;26.6
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541986R;LYCEE GENERAL PRIVE LA MALGRANGE;54274;JARVILLE LA MALGRANGE;privé sous contrat;LEGT;560.0;;560.0;135.2;;135.2;27.0;
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0542161F;LYCEE TECHNOLOGIQUE PRIVE PIERRE DE COUBERTIN;54395;NANCY;privé sous contrat;LEGT;83.0;;83.0;101.0;;101.0;33.8;
2022-2023;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0542408Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE CHARLES DE FOUCAULD;54395;NANCY;privé sous contrat;LEGT;190.0;;190.0;119.7;;119.7;27.2;
2022-2023;NANCY-METZ;055;MEUSE;0550891V;LYCEE PROFESSIONNEL EUGENE FREYSSINET;55545;VERDUN;public;LP;;154.0;154.0;;78.7;78.7;;21.8
2022-2023;RENNES;056;MORBIHAN;0560001X;LYCEE PROFESSIONNEL BERTRAND DU GUESCLIN LYCEE DES METIERS D ART;56007;AURAY;public;LP;;332.0;332.0;;105.6;105.6;;31.4
2022-2023;RENNES;056;MORBIHAN;0560025Y;LYCEE GENERAL ET TECHNOLOGIQUE DUPUY DE LOME;56121;LORIENT;public;LEGT;1350.0;;1350.0;121.8;;121.8;35.5;
2022-2023;RENNES;056;MORBIHAN;0560039N;LYCEE PROFESSIONNEL DU BLAVET LYCEE DES METIERS DU BATIMENT ET DU CONFORT DE L HABITAT;56178;PONTIVY;public;LP;;190.0;190.0;;87.6;87.6;;25.0
2022-2023;RENNES;056;MORBIHAN;0560070X;LYCEE PROFESSIONNEL EMILE ZOLA LYCEE DES METIERS DE LA COMMUNICATION VISUELLE;56083;HENNEBONT;public;LP;;266.0;266.0;;91.1;91.1;;25.3
2022-2023;RENNES;056;MORBIHAN;0560105K;LYCEE POLYVALENT PRIVE LA MENNAIS LYCEE DES METIERS DE L ELECTRICITE ET DES SERVICES A L ENTREPRISE;56165;PLOËRMEL;privé sous contrat;LPO;1205.0;293.0;1498.0;113.0;101.1;110.7;27.8;24.7
2022-2023;RENNES;056;MORBIHAN;0560114V;LYCEE GENERAL PRIVE SAINT FRANCOIS XAVIER;56260;VANNES;privé sous contrat;LEGT;680.0;;680.0;128.9;;128.9;27.6;
2022-2023;NANCY-METZ;057;MOSELLE;0570099Y;LYCEE HENRI NOMINE LYCEE DES METIERS DES SERVICES AUX ENTREPRISES;57631;SARREGUEMINES;public;LPO;430.0;228.0;658.0;100.5;83.0;94.4;33.0;27.9
2022-2023;NANCY-METZ;057;MOSELLE;0570100Z;LYCEE PROFESSIONNEL SIMON LAZARD;57631;SARREGUEMINES;public;LP;;599.0;599.0;;85.3;85.3;;26.6
2022-2023;NANCY-METZ;057;MOSELLE;0570108H;LYCEE POLYVALENT LA BRIQUERIE LYCEE DES METIERS DES SCIENCES ET DES TECHNIQUES;57672;THIONVILLE;public;LPO;241.0;638.0;879.0;103.1;81.3;87.3;35.0;26.1
2022-2023;NANCY-METZ;057;MOSELLE;0570216A;LYCEE GENERAL PRIVE SAINT PIERRE CHANEL;57672;THIONVILLE;privé sous contrat;LEGT;892.0;;892.0;129.7;;129.7;28.2;
2022-2023;NANCY-METZ;057;MOSELLE;0570225K;LYCEE PROFESSIONNEL PRIVE INTERENTREPRISES SITES DE BOULAY ET FAULQUEMONT;57097;BOULAY MOSELLE;privé sous contrat;LP;;114.0;114.0;;88.8;88.8;;24.9
2022-2023;NANCY-METZ;057;MOSELLE;0570241C;LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL;57012;ALGRANGE;privé sous contrat;LP;;449.0;449.0;;98.4;98.4;;24.6
2022-2023;NANCY-METZ;057;MOSELLE;0570268G;LYCEE PROFESSIONNEL PRIVE SAINTE CHRETIENNE;57606;SAINT AVOLD;privé sous contrat;LP;;126.0;126.0;;97.1;97.1;;26.3
2022-2023;NANCY-METZ;057;MOSELLE;0570294K;LYCEE PROFESSIONNEL PRIVE SAINTE MARIE;57630;SARREBOURG;privé sous contrat;LP;;148.0;148.0;;95.4;95.4;;19.6
2022-2023;NANCY-METZ;057;MOSELLE;0570313F;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE LA PROVIDENCE;57672;THIONVILLE;privé sous contrat;LEGT;849.0;;849.0;122.2;;122.2;27.4;
2022-2023;NANCY-METZ;057;MOSELLE;0572101Z;LYCEE PROFESSIONNEL PRIVE SAINT ANDRE LYCEE DES METIERS DE L OPTIQUE;57529;OTTANGE;privé sous contrat;LP;;7.0;7.0;;95.4;95.4;;21.4
2022-2023;NANCY-METZ;057;MOSELLE;0572757M;LYCEE GENERAL ET TECHNOLOGIQUE GEORGES DE LA TOUR;57463;METZ;public;LEGT;1431.0;;1431.0;114.2;;114.2;35.6;
2022-2023;NANCY-METZ;057;MOSELLE;0573172N;LYCEE TECHNOLOGIQUE PRIVE SAINTE CHRETIENNE;57606;SAINT AVOLD;privé sous contrat;LEGT;69.0;;69.0;99.6;;99.6;26.6;
2022-2023;NANCY-METZ;057;MOSELLE;0573211F;LYCEE ANDRE CITROEN LYCEE DES METIERS DE L AUTOMOBILE;57447;MARLY;public;LP;;361.0;361.0;;85.2;85.2;;29.1
2022-2023;NANCY-METZ;057;MOSELLE;0573320Z;LYCEE POLYVALENT RAYMOND MONDON LYCEE DES METIERS DE L HOTELLERIE RESTAURATION;57463;METZ;public;LPO;118.0;271.0;389.0;113.6;93.3;99.5;31.7;29.1
2022-2023;DIJON;058;NIEVRE;0580075S;LYCEE PROFESSIONNEL PRIVE THERESE DESREUMAUX;58250;SAINT LEGER DES VIGNES;privé sous contrat;LP;;75.0;75.0;;92.2;92.2;;24.4
2022-2023;LILLE;059;NORD;0590063Y;LYCEE GENERAL ALBERT CHATELET;59178;DOUAI;public;LEGT;910.0;;910.0;117.4;;117.4;38.7;
2022-2023;LILLE;059;NORD;0590093F;LYCEE POLYVALENT BEAUPRE LYCEE DES METIERS DE LA PLASTURGIE;59286;HAUBOURDIN;public;LPO;1040.0;362.0;1402.0;113.7;88.6;107.2;32.9;24.0
2022-2023;LILLE;059;NORD;0590112B;LYCEE GENERAL ET TECHNOLOGIQUE DUPLEIX;59331;LANDRECIES;public;LEGT;360.0;;360.0;102.1;;102.1;32.3;
2022-2023;LILLE;059;NORD;0590116F;LYCEE GENERAL FENELON;59350;LILLE;public;LEGT;643.0;;643.0;116.7;;116.7;40.2;
2022-2023;LILLE;059;NORD;0590133Z;LYCEE PROFESSIONNEL MAURICE DUHAMEL;59360;LOOS;public;LP;;313.0;313.0;;77.5;77.5;;23.3
2022-2023;LILLE;059;NORD;0590143K;LYCEE GENERAL YVES KERNANEC;59378;MARCQ EN BAROEUL;public;LEGT;709.0;;709.0;127.2;;127.2;36.6;
2022-2023;LILLE;059;NORD;0590144L;LYCEE PROFESSIONNEL AUTOMOBILE ALFRED MONGY LYCEE DES METIERS DE LA MAINTENANCE DES VEHICULES;59378;MARCQ EN BAROEUL;public;LP;;425.0;425.0;;84.5;84.5;;26.5
2022-2023;LILLE;059;NORD;0590184E;LYCEE GENERAL JEAN ROSTAND;59512;ROUBAIX;public;LEGT;122.0;;122.0;81.6;;81.6;28.2;
2022-2023;LILLE;059;NORD;0590187H;LYCEE PROFESSIONNEL LOUIS LOUCHEUR;59512;ROUBAIX;public;LP;;185.0;185.0;;69.4;69.4;;20.7
2022-2023;LILLE;059;NORD;0590189K;LYCEE PROFESSIONNEL LAVOISIER;59512;ROUBAIX;public;LP;;314.0;314.0;;70.2;70.2;;19.0
2022-2023;LILLE;059;NORD;0590198V;LYCEE PROFESSIONNEL GEORGES GUYNEMER;59183;DUNKERQUE;public;LP;;304.0;304.0;;78.5;78.5;;23.2
2022-2023;LILLE;059;NORD;0590214M;LYCEE POLYVALENT COLBERT LYCEE DES METIERS DU NUMERIQUE ET DES TECHNOLOGIES INNOVANTES;59599;TOURCOING;public;LPO;535.0;197.0;732.0;94.5;83.5;91.5;35.9;25.2
2022-2023;LILLE;059;NORD;0590217R;LYCEE PROFESSIONNEL SEVIGNE LYCEE DES METIERS;59599;TOURCOING;public;LP;;609.0;609.0;;76.4;76.4;;25.0
2022-2023;LILLE;059;NORD;0590257J;LYCEE PROFESSIONNEL ILE DE FLANDRE;59017;ARMENTIERES;public;LP;;338.0;338.0;;80.1;80.1;;22.7
2022-2023;LILLE;059;NORD;0590265T;LYCEE PROFESSIONNEL EDMOND LABBE;59178;DOUAI;public;LP;;374.0;374.0;;82.0;82.0;;25.6
2022-2023;LILLE;059;NORD;0590270Y;LYCEE PROFESSIONNEL DU HAINAUT LYCEE DES METIERS DE L AUTOMOBILE LYCEE DES METIERS DE LA CHAUDRONNERIE;59606;VALENCIENNES;public;LP;;749.0;749.0;;79.7;79.7;;24.7
2022-2023;LILLE;059;NORD;0592712C;LYCEE PROFESSIONNEL LOUIS ARMAND;59324;JEUMONT;public;LP;;151.0;151.0;;67.7;67.7;;19.2
2022-2023;LILLE;059;NORD;0592913W;LYCEE GENERAL PRIVE NOTRE DAME DES ANGES;59526;SAINT AMAND LES EAUX;privé sous contrat;LEGT;471.0;;471.0;128.5;;128.5;28.2;
2022-2023;LILLE;059;NORD;0592932S;LYCEE GENERAL PRIVE SAINTE MARIE;59056;BEAUCAMPS LIGNY;privé sous contrat;LEGT;1090.0;;1090.0;136.3;;136.3;25.4;
2022-2023;LILLE;059;NORD;0592964B;LYCEE PROFESSIONNEL PRIVE LEONARD DE VINCI;59512;ROUBAIX;privé sous contrat;LP;;154.0;154.0;;93.4;93.4;;23.3
2022-2023;LILLE;059;NORD;0593034C;LYCEE POLYVALENT PRIVE THEOPHILE LEGRAND;59365;LOUVROIL;privé sous contrat;LPO;77.0;196.0;273.0;104.3;93.7;96.7;29.1;24.0
2022-2023;LILLE;059;NORD;0593061G;LYCEE POLYVALENT PRIVE SAINT LUC;59122;CAMBRAI;privé sous contrat;LPO;667.0;466.0;1133.0;120.1;100.7;112.1;29.1;27.7
2022-2023;LILLE;059;NORD;0593063J;LYCEE PROFESSIONNEL PRIVE SAINTE MARIE;59043;BAILLEUL;privé sous contrat;LP;;455.0;455.0;;102.7;102.7;;26.8
2022-2023;LILLE;059;NORD;0593109J;LYCEE GENERAL PRIVE NOTRE DAME DE LA PAIX;59350;LILLE;privé sous contrat;LEGT;361.0;;361.0;136.8;;136.8;25.1;
2022-2023;LILLE;059;NORD;0593113N;LYCEE GENERAL PRIVE SAINTE CLAIRE;59350;LILLE;privé sous contrat;LEGT;241.0;;241.0;123.3;;123.3;31.1;
2022-2023;LILLE;059;NORD;0594424N;LYCEE GENERAL ET TECHNOLOGIQUE RAYMOND QUENEAU;59009;VILLENEUVE D ASCQ;public;LEGT;817.0;;817.0;104.9;;104.9;39.1;
2022-2023;LILLE;059;NORD;0594532F;LYCEE PROFESSIONNEL AMBROISE CROIZAT;59028;AUBY;public;LP;;228.0;228.0;;71.3;71.3;;19.6
2022-2023;LILLE;059;NORD;0595809U;LYCEE GENERAL ET TECHNOLOGIQUE DE L ESCAUT;59606;VALENCIENNES;public;LEGT;1147.0;;1147.0;100.9;;100.9;35.1;
2022-2023;LILLE;059;NORD;0595867G;LYCEE GENERAL ET TECHNOLOGIQUE INTERNATIONAL MONTEBELLO;59350;LILLE;public;LEGT;1321.0;;1321.0;105.1;;105.1;41.3;
2022-2023;LILLE;059;NORD;0596681S;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE AVERROES;59350;LILLE;privé sous contrat;LEGT;360.0;;360.0;112.9;;112.9;30.1;
2022-2023;LILLE;059;NORD;0596892W;LYCEE D EXCELLENCE EDGAR MORIN;59178;DOUAI;public;LEGT;166.0;;166.0;91.2;;91.2;29.5;
2022-2023;AMIENS;060;OISE;0600002B;LYCEE POLYVALENT PAUL LANGEVIN LYCEE DES METIERS DE L INDUSTRIE ET DU GENIE CIVIL;60057;BEAUVAIS;public;LPO;1035.0;278.0;1313.0;103.7;88.3;100.4;30.3;24.0
2022-2023;AMIENS;060;OISE;0600003C;LYCEE PROFESSIONNEL JEAN BAPTISTE COROT LYCEE DES METIERS DE L HABITAT ET DU COMMERCE;60057;BEAUVAIS;public;LP;;654.0;654.0;;80.9;80.9;;22.3
2022-2023;AMIENS;060;OISE;0600017T;LYCEE PROFESSIONNEL MIXTE M GRENET;60159;COMPIEGNE;public;LP;;335.0;335.0;;87.7;87.7;;25.3
2022-2023;AMIENS;060;OISE;0601701Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE JEAN PAUL II;60159;COMPIEGNE;privé sous contrat;LEGT;864.0;;864.0;132.8;;132.8;26.1;
2022-2023;AMIENS;060;OISE;0601831P;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ST JOSEPH DU MONCEL;60509;PONT SAINTE MAXENCE;privé sous contrat;LEGT;380.0;;380.0;116.6;;116.6;28.9;
2022-2023;AMIENS;060;OISE;0601863Z;LYCEE POLYVALENT CHARLES DE GAULLE LYCEE DES METIERS DE LA RESTAURATION ET DU TOURISME;60159;COMPIEGNE;public;LPO;690.0;177.0;867.0;109.8;88.8;105.5;31.8;25.2
2022-2023;AMIENS;060;OISE;0601865B;LYCEE GENERAL ET TECHNOLOGIQUE CONDORCET;60395;MERU;public;LEGT;912.0;;912.0;101.9;;101.9;30.5;
2022-2023;AMIENS;060;OISE;0601896K;LYCEE PROFESSIONNEL PRIVE ST JOSEPH DU MONCEL;60509;PONT SAINTE MAXENCE;privé sous contrat;LP;;76.0;76.0;;103.8;103.8;;25.7
2022-2023;NORMANDIE;061;ORNE;0610001V;LYCEE GENERAL ET TECHNOLOGIQUE ALAIN;61001;ALENCON;public;LEGT;733.0;;733.0;115.0;;115.0;32.6;
2022-2023;NORMANDIE;061;ORNE;0610004Y;LYCEE PROFESSIONNEL MARCEL MEZEN LYCEE DES METIERS DE L AUTOMOBILE ET DU TRANSPORT;61001;ALENCON;public;LP;;298.0;298.0;;85.2;85.2;;21.8
2022-2023;NORMANDIE;061;ORNE;0610019P;LYCEE PROFESSIONNEL FLORA TRISTAN;61168;LA FERTE MACE;public;LP;;220.0;220.0;;82.9;82.9;;26.4
2022-2023;NORMANDIE;061;ORNE;0610692W;LYCEE POLYVALENT PRIVE ST FRANCOIS DE SALES;61001;ALENCON;privé sous contrat;LPO;199.0;73.0;272.0;123.7;103.7;118.3;27.6;25.8
2022-2023;LILLE;062;PAS-DE-CALAIS;0620108F;LYCEE GENERAL ET TECHNOLOGIQUE CONDORCET;62498;LENS;public;LEGT;740.0;;740.0;87.1;;87.1;30.0;
2022-2023;LILLE;062;PAS-DE-CALAIS;0620109G;LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTE BEHAL;62498;LENS;public;LEGT;578.0;;578.0;85.3;;85.3;27.2;
2022-2023;LILLE;062;PAS-DE-CALAIS;0620121V;LYCEE PROFESSIONNEL FLORA TRISTAN;62516;LILLERS;public;LP;;116.0;116.0;;78.3;78.3;;24.0
2022-2023;LILLE;062;PAS-DE-CALAIS;0620140R;LYCEE POLYVALENT EUGENE WOILLEZ;62588;MONTREUIL;public;LPO;1043.0;204.0;1247.0;107.8;84.5;104.0;32.1;24.7
2022-2023;LILLE;062;PAS-DE-CALAIS;0620161N;LYCEE GENERAL ET TECHNOLOGIQUE ALEXANDRE RIBOT;62765;SAINT OMER;public;LEGT;1097.0;;1097.0;106.1;;106.1;34.1;
2022-2023;LILLE;062;PAS-DE-CALAIS;0620189U;LYCEE PROFESSIONNEL PIERRE DE COUBERTIN;62193;CALAIS;public;LP;;847.0;847.0;;79.3;79.3;;22.9
2022-2023;LILLE;062;PAS-DE-CALAIS;0620220C;LYCEE PROFESSIONNEL LA PEUPLERAIE;62771;SALLAUMINES;public;LP;;354.0;354.0;;69.8;69.8;;19.1
2022-2023;LILLE;062;PAS-DE-CALAIS;0620256S;LYCEE POLYVALENT GUY MOLLET;62041;ARRAS;public;LEGT;1467.0;;1467.0;103.9;;103.9;32.4;
2022-2023;LILLE;062;PAS-DE-CALAIS;0622116N;LYCEE GENERAL PRIVE LA MALASSISE;62525;LONGUENESSE;privé sous contrat;LEGT;611.0;;611.0;132.2;;132.2;26.1;
2022-2023;LILLE;062;PAS-DE-CALAIS;0622199D;LYCEE POLYVALENT PRIVE SAINT DENIS;62765;SAINT OMER;privé sous contrat;LPO;223.0;42.0;265.0;111.6;109.5;111.2;27.9;32.6
2022-2023;LILLE;062;PAS-DE-CALAIS;0622275L;LYCEE PROFESSIONNEL JEAN CHARLES CAZIN;62160;BOULOGNE SUR MER;public;LP;;531.0;531.0;;71.6;71.6;;17.9
2022-2023;CLERMONT-FERRAND;063;PUY-DE-DOME;0630020E;LYCEE GENERAL ET TECHNOLOGIQUE SIDOINE APOLLINAIRE;63113;CLERMONT FERRAND;public;LEGT;915.0;;915.0;99.3;;99.3;29.5;
2022-2023;CLERMONT-FERRAND;063;PUY-DE-DOME;0630021F;LYCEE POLYVALENT LA FAYETTE LYCEE DES METIERS DE L INGENIERIE INDUSTRIELLE;63113;CLERMONT FERRAND;public;LPO;745.0;351.0;1096.0;115.3;91.5;107.7;33.9;29.6
2022-2023;CLERMONT-FERRAND;063;PUY-DE-DOME;0630061Z;LYCEE PROFESSIONNEL DESAIX;63338;SAINT ELOY LES MINES;public;LP;;125.0;125.0;;88.3;88.3;;25.5
2022-2023;CLERMONT-FERRAND;063;PUY-DE-DOME;0631068U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE GODEFROY DE BOUILLON;63113;CLERMONT FERRAND;privé sous contrat;LEGT;680.0;;680.0;124.3;;124.3;29.5;
2022-2023;CLERMONT-FERRAND;063;PUY-DE-DOME;0631408N;LYCEE PROFESSIONNEL PRIVE LES CORDELIERS LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;63113;CLERMONT FERRAND;privé sous contrat;LP;;232.0;232.0;;101.7;101.7;;24.3
2022-2023;CLERMONT-FERRAND;063;PUY-DE-DOME;0631736V;LYCEE PROFESSIONNEL PRIVE GODEFROY DE BOUILLON LYCEE DES METIERS DE L INDUSTRIE ET DES SERVICES AUX ENTREPRISES;63113;CLERMONT FERRAND;privé sous contrat;LP;;291.0;291.0;;118.2;118.2;;29.0
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0640040W;LYCEE PROFESSIONNEL JEAN PIERRE CHAMPO LYCEE DES METIERS DE LA MAINTENANCE;64371;MAULEON LICHARRE;public;LP;;193.0;193.0;;97.1;97.1;;23.0
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0640044A;LYCEE GENERAL ALBERT CAMUS LYCEE DES METIERS DE LA CHIMIE;64410;MOURENX;public;LEGT;401.0;;401.0;108.6;;108.6;31.4;
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0640047D;LYCEE GENERAL JULES SUPERVIELLE;64422;OLORON SAINTE MARIE;public;LEGT;474.0;;474.0;115.2;;115.2;32.2;
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0640049F;LYCEE PROFESSIONNEL GUYNEMER LYCEE DES METIERS DE L INDUSTRIE ET DU NUMERIQUE;64422;OLORON SAINTE MARIE;public;LP;;164.0;164.0;;96.0;96.0;;25.6
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0640124M;LYCEE GENERAL PRIVE SAINT FRANCOIS;64371;MAULEON LICHARRE;privé sous contrat;LEGT;37.0;;37.0;118.8;;118.8;29.9;
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0640125N;LYCEE GENERAL PRIVE SAINT JOSEPH;64417;NAY;privé sous contrat;LEGT;261.0;;261.0;122.4;;122.4;29.1;
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0640127R;LYCEE GENERAL PRIVE JEANNE D ARC;64430;ORTHEZ;privé sous contrat;LEGT;109.0;;109.0;116.0;;116.0;28.6;
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0641705F;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH;64547;USTARITZ;privé sous contrat;LP;;224.0;224.0;;103.0;103.0;;21.5
2022-2023;BORDEAUX;064;PYRENEES-ATLANTIQUES;0641779L;LYCEE GENERAL ET TECHNOLOGIQUE DU PAYS DE SOULE;64188;CHERAUTE;public;LEGT;320.0;;320.0;108.3;;108.3;28.8;
2022-2023;TOULOUSE;065;HAUTES-PYRENEES;0650026A;LYCEE GENERAL ET TECHNOLOGIQUE MARIE CURIE;65440;TARBES;public;LEGT;1104.0;;1104.0;109.2;;109.2;31.9;
2022-2023;TOULOUSE;065;HAUTES-PYRENEES;0650041S;LYCEE PROFESSIONNEL JEAN DUPUY LYCEE DES METIERS DE L INDUSTRIE : MATERIAUX PRODUCTION ET ELECTRICITE;65440;TARBES;public;LP;;224.0;224.0;;96.8;96.8;;26.5
2022-2023;TOULOUSE;065;HAUTES-PYRENEES;0650062P;LYCEE GENERAL PRIVE JEANNE D ARC;65440;TARBES;privé sous contrat;LEGT;198.0;;198.0;120.6;;120.6;25.8;
2022-2023;TOULOUSE;065;HAUTES-PYRENEES;0650885J;LYCEE POLYVALENT PRIVE NOTRE DAME DE GARAISON;65315;MONLEON MAGNOAC;privé sous contrat;LPO;144.0;53.0;197.0;117.1;105.0;113.9;28.7;24.8
2022-2023;MONTPELLIER;066;PYRENEES-ORIENTALES;0660004W;LYCEE POLYVALENT DEODAT DE SEVERAC LYCEE DES METIERS DU TRANSPORT LOGISTIQUE ET DU COMMERCE;66049;CERET;public;LPO;586.0;318.0;904.0;108.6;85.7;100.5;33.7;23.9
2022-2023;MONTPELLIER;066;PYRENEES-ORIENTALES;0660768B;LYCEE GENERAL PRIVE SAINT LOUIS DE GONZAGUE;66136;PERPIGNAN;privé sous contrat;LEGT;475.0;;475.0;124.5;;124.5;28.7;
2022-2023;MONTPELLIER;066;PYRENEES-ORIENTALES;0660856X;LYCEE POLYVALENT ROSA LUXEMBURG LYCEE DES METIERS DU NAUTISME;66037;CANET EN ROUSSILLON;public;LPO;1033.0;219.0;1252.0;111.6;92.6;108.3;31.1;26.1
2022-2023;MONTPELLIER;066;PYRENEES-ORIENTALES;0660907C;LYCEE TECHNOLOGIQUE ANNEXE DU LYCEE PABLO PICASSO;66208;THEZA;public;LEGT;41.0;;41.0;104.8;;104.8;30.7;
2022-2023;STRASBOURG;067;BAS-RHIN;0670049P;LYCEE GENERAL FREPPEL;67348;OBERNAI;public;LEGT;659.0;;659.0;130.7;;130.7;34.0;
